gained,singleton,lost,gained-lost,lost-gained-lost,gained-lost-gained,maintained,lost-gained
8024,126743,13725,2309,7377,10688,25802,13800
12623,136034,44707,10050,13139,1041,3397,3102
2688,97496,31851,4528,3858,1279,7437,4804
4934,120552,17674,4208,13566,2342,19430,9604
19101,98476,9599,4163,1715,7667,30927,13223
12544,107004,28939,5896,4137,2974,41435,11903
8547,88838,16224,3148,3889,4112,26836,13755
10164,79745,14339,4333,3610,2680,26567,7188
16756,91769,7249,3968,1595,11361,32502,13616
19332,142859,24006,7316,7217,6380,46335,21569
30997,116085,8759,3784,1869,7811,27677,10404
