dna_only,all_rna_concordant,at_least_one_matching,at_least_one_concordant,total_families_with_dna,all_concordant,all_dna_concordant,total_families_with_rna
193719,7997,14674,9461,208393,1216,1662,25757
217420,5255,6667,1279,5666,224087,1000,10765
141934,9256,11919,2905,10051,153853,2295,20199
188997,2325,226,3303,274,2491,192300,4996
171670,9741,13172,1182,10633,184842,870,22281
198159,13321,16609,919,13573,214768,823,22960
162633,2217,61,2714,69,2238,165347,4631
138438,8084,10160,8797,148598,1469,1853,15994
176213,2222,2621,138,2279,178834,119,10941
261714,9902,494,13282,570,10312,274996,27041
199269,5856,8072,1348,6632,207341,913,18181
