#SampleID	10042055_rnatax_1	10042055_rnatax_2	10042055_rnatax_3	10042055_rnatax_4	11507229_rnatax_1	11507229_rnatax_2	11507229_rnatax_3	11507229_rnatax_4	11715866_rnatax_1	11715866_rnatax_2	11715866_rnatax_3	11715866_rnatax_4	11992832_rnatax_1	11992832_rnatax_2	11992832_rnatax_3	11992832_rnatax_4	12112483_rnatax_1	12112483_rnatax_2	12112483_rnatax_3	12112483_rnatax_4	12289378_rnatax_1	12289378_rnatax_2	12289378_rnatax_3	12289378_rnatax_4	12293355_rnatax_1	12293355_rnatax_2	12293355_rnatax_3	12293355_rnatax_4	12542142_rnatax_1	12542142_rnatax_2	12542142_rnatax_3	12542142_rnatax_4	12656695_rnatax_1	12656695_rnatax_2	12656695_rnatax_3	12656695_rnatax_4	19061811_rnatax_1	19061811_rnatax_2	19061811_rnatax_3	19061811_rnatax_4	19251414_rnatax_1	19251414_rnatax_2	19251414_rnatax_3	19251414_rnatax_4
k__Archaea	0.88158	14.36532	4.65133	5.31629	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota	0.88158	14.36532	4.65133	5.31629	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.88158	14.36532	4.65133	5.31629	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.88158	14.36532	4.65133	5.31629	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.88158	14.36532	4.65133	5.31629	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.85865	14.36532	4.65133	5.12678	0	0.02943	0	0	3.45694	2.34988	15.02331	29.59652	0	0	0	0	0	0	0	0	0	9.79868	0	0	10.50323	0	0	0.33925	0	0	0	0	18.42721	0	3.46684	1.85887	0	55.46019	0	11.4914	11.53667	9.40885	0.05561	22.13623
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.12238	0.13801	0.01087	0.99988	0	0	0	0	0.40953	0.38248	2.25976	3.2463	0	0	0	0	0	0	0	0	0	3.85918	0	0	0	0	0	0	0	0	0	0	4.2428	0	0	0	0	0	0	1.33108	2.61005	1.04264	0	4.43301
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.12238	0.13801	0.01087	0.99988	0	0	0	0	0.40953	0.38248	2.25976	3.2463	0	0	0	0	0	0	0	0	0	3.85918	0	0	0	0	0	0	0	0	0	0	4.2428	0	0	0	0	0	0	1.33108	2.61005	1.04264	0	4.43301
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.73627	14.22731	4.64047	4.1269	0	0.02943	0	0	3.04741	1.96739	12.76355	26.35022	0	0	0	0	0	0	0	0	0	5.9395	0	0	10.50323	0	0	0.33925	0	0	0	0	14.18441	0	3.46684	1.85887	0	55.46019	0	10.16032	8.92663	8.36621	0.05561	17.70322
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.02292	0	0	0.18952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.02292	0	0	0.18952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545	0.02292	0	0	0.18952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	12.56324	76.06293	52.70968	89.24699	87.62411	27.37958	85.83964	0	95.92585	97.65012	33.72454	57.6536	22.06169	100.0	17.13771	6.5776	2.72604	99.13058	100.0	97.82338	1.01509	57.32359	18.44013	15.57109	85.94925	0	42.51524	4.11667	96.99003	96.33202	25.51093	3.40107	30.55787	56.46374	73.44645	71.47382	81.3704	44.53981	95.17534	83.06458	18.26309	4.38512	99.09639	32.90847
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0	0	0	0	0	0	0	0	0	0.11721	0.20111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	0.00164	0	0	0.15891	0.6865	0.16323	1.36435	0	0.08385	0.05036	0.06602	0	0	0.35954	0	0	0.0005	0.0313	0.01084	0	0	0	0.10594	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0.65853	0	0	0	0.25269	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00164	0	0	0.15891	0.6865	0.16323	1.36435	0	0.08385	0.05036	0.06602	0	0	0.35954	0	0	0.0005	0.0313	0.01084	0	0	0	0.10594	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0.65853	0	0	0	0.25269	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08674	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08674	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08674	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08674	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01821	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00164	0	0	0.15891	0.6865	0.16323	1.36435	0	0.08385	0.05036	0.06602	0	0	0.35954	0	0	0.0005	0.0313	0.01084	0	0	0	0.08245	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0.57179	0	0	0	0.23447	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00164	0	0	0.15891	0.6865	0.16323	1.36435	0	0.08385	0.05036	0.06602	0	0	0.35954	0	0	0.0005	0.0313	0.01084	0	0	0	0.08245	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0.57179	0	0	0	0.23447	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0	0	0	0.09685	0.6865	0.16323	1.36435	0	0.08385	0.05036	0.06602	0	0	0.35954	0	0	0	0	0	0	0	0	0.08245	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0.55905	0	0	0	0.23447	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0	0	0	0.09685	0.6865	0.14239	1.0294	0	0	0	0.03007	0	0	0	0	0	0	0	0	0	0	0	0.00966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55905	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	0	0	0	0.09685	0.6865	0.14239	1.0294	0	0	0	0.03007	0	0	0	0	0	0	0	0	0	0	0	0.00966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55905	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified	0	0	0	0	0	0.02084	0.33495	0	0.08385	0.05036	0.03594	0	0	0.35954	0	0	0	0	0	0	0	0	0.07278	0	0.01784	0	0	0	0	0	0	0	0.01072	0	0.16036	0	0.01496	0	0	0	0	0	0.23447	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname	0.00164	0	0	0.06206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI	0.00164	0	0	0.06206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Coriobacteriaceae_noname|s__Coriobacteriaceae_bacterium_phI|t__GCF_000311845	0.00164	0	0	0.06206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0.0313	0.01084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01274	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0.0313	0.01084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01274	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	12.28953	66.44459	48.91861	80.28121	73.41641	19.64409	66.3214	0	59.28553	33.88999	21.81394	33.81585	8.32108	71.24876	14.42791	2.46205	1.95446	63.30704	79.70912	97.82338	0.7114	34.36373	6.59974	11.1789	46.02313	0	29.25105	3.45206	56.69833	64.7235	15.70982	1.52011	20.6577	42.53083	53.56455	51.99133	39.19261	31.11	62.58784	50.77054	16.05715	3.36525	71.84907	20.84297
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.28953	66.44459	48.91861	80.245	73.41641	19.64409	66.3214	0	59.12086	33.88999	21.81394	33.81585	8.32108	71.24876	14.42791	2.46205	1.95446	63.30704	79.70912	97.82338	0.7114	34.36373	6.59974	11.1789	46.02313	0	29.09632	3.45206	56.69833	64.7235	15.70982	1.52011	20.61742	42.53083	53.56455	51.94249	39.19261	31.11	62.58784	50.77054	16.05715	3.36525	71.70774	20.84297
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	12.28953	66.44459	48.91861	80.245	73.41641	19.64409	66.3214	0	59.12086	33.88999	21.81394	33.81585	8.32108	71.24876	14.42791	2.46205	1.95446	63.30704	79.70912	97.82338	0.7114	34.36373	6.59974	11.1789	46.02313	0	29.09632	3.45206	56.69833	64.7235	15.70982	1.52011	20.61742	42.53083	53.56455	51.94249	39.19261	31.11	62.58784	50.77054	16.05715	3.36525	71.70774	20.84297
