#SampleID	10042055_rnatax_1	10042055_rnatax_2	10042055_rnatax_3	10042055_rnatax_4	11507229_rnatax_1	11507229_rnatax_2	11507229_rnatax_3	11507229_rnatax_4	11715866_rnatax_1	11715866_rnatax_2	11715866_rnatax_3	11715866_rnatax_4	11992832_rnatax_1	11992832_rnatax_2	11992832_rnatax_3	11992832_rnatax_4	12112483_rnatax_1	12112483_rnatax_2	12112483_rnatax_3	12112483_rnatax_4	12289378_rnatax_1	12289378_rnatax_2	12289378_rnatax_3	12289378_rnatax_4	12293355_rnatax_1	12293355_rnatax_2	12293355_rnatax_3	12293355_rnatax_4	12542142_rnatax_1	12542142_rnatax_2	12542142_rnatax_3	12542142_rnatax_4	12656695_rnatax_1	12656695_rnatax_2	12656695_rnatax_3	12656695_rnatax_4	19061811_rnatax_1	19061811_rnatax_2	19061811_rnatax_3	19061811_rnatax_4	19251414_rnatax_1	19251414_rnatax_2	19251414_rnatax_3	19251414_rnatax_4
k__Archaea	0.0088158	0.143653	0.0465133	0.0531629	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota	0.0088158	0.143653	0.0465133	0.0531629	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0088158	0.143653	0.0465133	0.0531629	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0088158	0.143653	0.0465133	0.0531629	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0088158	0.143653	0.0465133	0.0531629	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0085865	0.143653	0.0465133	0.0512678	0	0.0002943	0	0	0.0345694	0.0234988	0.150233	0.295965	0	0	0	0	0	0	0	0	0	0.0979868	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.184272	0	0.0346684	0.0185887	0	0.554602	0	0.114914	0.115367	0.0940885	0.0005561	0.221362
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0012238	0.0013801	0.0001087	0.0099988	0	0	0	0	0.0040953	0.0038248	0.0225976	0.032463	0	0	0	0	0	0	0	0	0	0.0385918	0	0	0	0	0	0	0	0	0	0	0.042428	0	0	0	0	0	0	0.0133108	0.0261005	0.0104264	0	0.0443301
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	0.0012238	0.0013801	0.0001087	0.0099988	0	0	0	0	0.0040953	0.0038248	0.0225976	0.032463	0	0	0	0	0	0	0	0	0	0.0385918	0	0	0	0	0	0	0	0	0	0	0.042428	0	0	0	0	0	0	0.0133108	0.0261005	0.0104264	0	0.0443301
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.0073627	0.142273	0.0464047	0.041269	0	0.0002943	0	0	0.0304741	0.0196739	0.127636	0.263502	0	0	0	0	0	0	0	0	0	0.059395	0	0	0.105032	0	0	0.0033925	0	0	0	0	0.141844	0	0.0346684	0.0185887	0	0.554602	0	0.101603	0.0892663	0.0836621	0.0005561	0.177032
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0002292	0	0	0.0018952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
