{'r4': 'd4', 'r1': 'd1', 'r2': 'd2', 'r3': 'd3', 'd4': 'r4', 'd2': 'r2', 'd3': 'r3', 'd1': 'r1'}
total gene families: 154433
	0	0.0
d2,d4,r3,r4	1	6.47529996827e-06
d2,d3,d4,r2,r3,r4	1	6.47529996827e-06
d1,d3,d4,r1	112	0.000725233596446
d2,d4,r2,r4	3	1.94258999048e-05
d3,r3	8	5.18023997462e-05
d3,d4,r1,r3	1	6.47529996827e-06
d2,d3,d4,r1,r2	69	0.000446795697811
d2,d3,d4,r1,r3	3	1.94258999048e-05
d3,d4,r3,r4	8	5.18023997462e-05
d2,d3,d4,r1,r4	2	1.29505999365e-05
d2,r2,r3	2	1.29505999365e-05
d1,d3,d4,r1,r3,r4	2	1.29505999365e-05
d2,r1,r2	100	0.000647529996827
d1,d2,r1,r3	3	1.94258999048e-05
d1,d2,r1,r2	210	0.00135981299334
d1,d2,r1,r4	2	1.29505999365e-05
d1,d2,r1,r2,r4	13	8.41788995875e-05
d1,d4,r4	5	3.23764998414e-05
d1,d3,r3	5	3.23764998414e-05
d1,d4,r1	24	0.000155407199239
d1,d2,r1,r2,r3	3	1.94258999048e-05
d2,d3,d4,r3,r4	2	1.29505999365e-05
d1,d4,r1,r2	12	7.77035996193e-05
d1,d3,d4,r3	5	3.23764998414e-05
d1,d3,d4,r4	5	3.23764998414e-05
d1,d4,r1,r4	1	6.47529996827e-06
d1,d3,r1,r2,r3	4	2.59011998731e-05
d1,d3,r1,r2,r4	2	1.29505999365e-05
d1,d2,d3,r3,r4	1	6.47529996827e-06
d2,d4,r1,r4	3	1.94258999048e-05
d1,d2,d4,r1,r2,r3,r4	1	6.47529996827e-06
d2,d4,r1,r2	19	0.000123030699397
d1,r1,r2	108	0.000699332396573
d1,r1,r3	7	4.53270997779e-05
d1,d3,r1,r3	2	1.29505999365e-05
d1,r1,r4	2	1.29505999365e-05
d1,d4,r3,r4	1	6.47529996827e-06
d2,r2,r4	5	3.23764998414e-05
d1,d3,r2,r3,r4	1	6.47529996827e-06
d1,d2,d3,r1,r3,r4	1	6.47529996827e-06
