#SampleID	11507229_bugs_1	11507229_bugs_2	11507229_bugs_3	11507229_bugs_4
k__Archaea	0	0	0.01531	0
k__Archaea|p__Euryarchaeota	0	0	0.01531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0.01531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0.01531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0.01531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0.01531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0.01531	0
k__Bacteria	100.0	100.0	99.98469	99.99151
k__Bacteria|p__Acidobacteria	0	0.02202	0.01283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0.02202	0.01283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0.02202	0.01283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0.02202	0.01283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0.02202	0.01283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0.02202	0.01283	0
k__Bacteria|p__Actinobacteria	5.15993	4.45892	2.65865	21.03961
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.15993	4.45892	2.65865	21.03961
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0.0565	0	0.01635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0.01635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0.01635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0.00405
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0	0	0	0.00405
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0	0	0	0.01231
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0	0	0	0.01231
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0	0.0565	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0.0565	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0	0.0565	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.22905	1.79281	0.75536	13.92715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.22905	1.79281	0.75536	13.92715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2.22905	1.79281	0.75536	13.92715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	1.89857	1.67558	0.70928	13.51208
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	1.89857	1.67558	0.70928	13.51208
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.33049	0.11723	0.04608	0.41508
