#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	52.60089
k__Bacteria|p__Firmicutes	41.93519
k__Bacteria|p__Actinobacteria	5.15993
k__Bacteria|p__Proteobacteria	0.174
k__Bacteria|p__Verrucomicrobia	0.09921
k__Bacteria|p__Deinococcus_Thermus	0.03078
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	52.60089
k__Bacteria|p__Firmicutes|c__Clostridia	41.86197
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.15993
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.16066
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.09921
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.04515
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	0.03078
k__Bacteria|p__Firmicutes|c__Negativicutes	0.02597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.01334
k__Bacteria|p__Firmicutes|c__Bacilli	0.0021
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	52.60089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	41.86197
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	2.93087
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2.22905
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.16066
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.09921
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.04515
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.03078
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.02597
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.01334
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.0021
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	39.22591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	20.56754
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	11.22078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	10.99409
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.6231
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	2.93087
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2.22905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.1542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.53462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.10433
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.09921
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.08615
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.04515
