#SampleID	11507229_bugs_1	11507229_bugs_2	11507229_bugs_3	11507229_bugs_4
k__Archaea	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0.0001531	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0.0001531	0
k__Bacteria	1	1	0.999847	0.999915
k__Bacteria|p__Acidobacteria	0	0.0002202	0.0001283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0	0.0002202	0.0001283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0	0.0002202	0.0001283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0	0.0002202	0.0001283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0	0.0002202	0.0001283	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified	0	0.0002202	0.0001283	0
k__Bacteria|p__Actinobacteria	0.0515993	0.0445892	0.0265865	0.210396
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0515993	0.0445892	0.0265865	0.210396
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0.000565	0	0.0001635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	0.0001635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0.0001635
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	4.05e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0	0	0	4.05e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0	0	0	0.0001231
