# Gene Family	11507229_rna_2-RPKs
UNMAPPED	3518716.0000000000
UniRef90_A7V4G2	505727.7640204422
UniRef90_A7V4G2|g__Bacteroides.s__Bacteroides_uniformis	505727.7640204422
UniRef90_A7V2K8	400712.2311649468
UniRef90_A7V2K8|g__Bacteroides.s__Bacteroides_uniformis	400712.2311649468
UniRef90_A5ZLI2	307541.1257377646
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_uniformis	234665.0439513944
UniRef90_A5ZLI2|g__Bacteroides.s__Bacteroides_caccae	72876.0817863702
UniRef90_A5ZL08	207511.1111111111
UniRef90_A5ZL08|g__Bacteroides.s__Bacteroides_caccae	207511.1111111111
UniRef90_R7NTX0	197962.4413732481
UniRef90_R7NTX0|g__Bacteroides.s__Bacteroides_massiliensis	197962.4413732481
UniRef90_D4VB58	163167.3249952130
UniRef90_D4VB58|g__Bacteroides.s__Bacteroides_vulgatus	163167.3249952130
UniRef90_A7V4G1	161423.2881304155
UniRef90_A7V4G1|g__Bacteroides.s__Bacteroides_uniformis	161423.2881304155
UniRef90_A5ZYU0	102617.0658129274
UniRef90_A5ZYU0|g__Blautia.s__Ruminococcus_obeum	102617.0658129274
UniRef90_A5KR94	96573.9748543600
UniRef90_A5KR94|g__Blautia.s__Ruminococcus_torques	96573.9748543600
UniRef90_A7V4G3	81215.6368786218
UniRef90_A7V4G3|g__Bacteroides.s__Bacteroides_uniformis	81215.6368786218
UniRef90_B0NEX9	80487.7355461285
UniRef90_B0NEX9|g__Clostridium.s__Clostridium_scindens	80487.7355461285
UniRef90_unknown	80027.2887947677
UniRef90_unknown|g__Bacteroides.s__Bacteroides_caccae	11455.5712751976
UniRef90_unknown|g__Bacteroides.s__Bacteroides_uniformis	9746.8164456822
UniRef90_unknown|g__Bacteroides.s__Bacteroides_intestinalis	8707.3429558150
UniRef90_unknown|g__Bacteroides.s__Bacteroides_vulgatus	8610.1801601995
UniRef90_unknown|g__Bacteroides.s__Bacteroides_massiliensis	6708.7713252090
UniRef90_unknown|g__Bacteroides.s__Bacteroides_ovatus	5904.6265197379
UniRef90_unknown|g__Dorea.s__Dorea_longicatena	3524.4721326997
UniRef90_unknown|g__Escherichia.s__Escherichia_coli	2965.0368078535
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_merdae	2459.0757331294
UniRef90_unknown|g__Alistipes.s__Alistipes_shahii	2046.4129006307
UniRef90_unknown|g__Bacteroides.s__Bacteroides_nordii	2025.2273151455
UniRef90_unknown|g__Bacteroides.s__Bacteroides_dorei	1661.0688106578
UniRef90_unknown|g__Alistipes.s__Alistipes_putredinis	1596.3758604823
UniRef90_unknown|g__Alistipes.s__Alistipes_sp_HGB5	1428.5879533002
UniRef90_unknown|g__Parabacteroides.s__Parabacteroides_distasonis	1408.0175972597
