"1-1","1-2","1-3","1-4"
1.000000,0.814286,0.774286,0.737143
1.000000,0.779710,0.721739,0.785507
1.000000,0.881356,0.755932,0.715254
1.000000,0.857664,0.791971,0.791971
1.000000,0.842444,0.726688,0.826367
1.000000,0.650350,0.737762,0.667832
1.000000,0.781609,0.772989,0.778736
1.000000,0.807365,0.719547,0.662890
1.000000,0.830904,0.787172,0.641399
1.000000,0.851852,0.784512,0.801347
1.000000,0.794479,0.714724,0.711656
1.000000,0.816092,0.662835,0.647510
1.000000,0.892361,0.770833,0.802083
1.000000,0.785498,0.728097,0.776435
1.000000,0.851449,0.768116,0.764493
1.000000,0.778157,0.791809,0.761092
1.000000,0.796825,0.828571,0.749206
1.000000,0.777778,0.666667,0.686610
1.000000,0.800766,0.739464,0.785441
1.000000,0.928339,0.771987,0.840391
1.000000,0.748322,0.852349,0.875839
1.000000,0.811912,0.724138,0.780564
1.000000,0.767176,0.824427,0.782443
1.000000,0.716763,0.771676,0.716763
1.000000,0.810714,0.746429,0.753571
1.000000,0.886364,0.798701,0.837662
1.000000,0.832776,0.782609,0.759197
1.000000,0.888179,0.833866,0.728435
1.000000,0.816406,0.843750,0.812500
1.000000,0.806061,0.778788,0.754545
1.000000,0.786624,0.742038,0.748408
1.000000,0.703593,0.823353,0.796407
1.000000,0.802920,0.813869,0.733577
1.000000,0.826087,0.785507,0.773913
1.000000,0.822742,0.715719,0.762542
1.000000,0.900685,0.743151,0.859589
1.000000,0.788889,0.752778,0.769444
1.000000,0.803846,0.888462,0.846154
1.000000,0.764085,0.760563,0.774648
1.000000,0.878505,0.766355,0.838006
1.000000,0.755906,0.729659,0.779528
1.000000,0.843511,0.828244,0.816794
1.000000,0.879121,0.769231,0.758242
1.000000,0.870175,0.754386,0.821053
1.000000,0.712500,0.762500,0.665625
1.000000,0.820433,0.758514,0.755418
1.000000,0.326870,0.842105,0.714681
1.000000,0.761628,0.752907,0.732558
1.000000,0.419847,0.744275,0.778626
1.000000,0.838006,0.560748,0.722741
1.000000,0.799163,0.744770,0.744770
1.000000,0.837912,0.832418,0.846154
1.000000,0.882857,0.774286,0.722857
1.000000,0.748011,0.575597,0.814324
1.000000,0.868512,0.750865,0.778547
1.000000,0.847619,0.771429,0.717460
1.000000,0.807818,0.807818,0.781759
1.000000,0.857971,0.684058,0.634783
1.000000,0.819549,0.789474,0.744361
1.000000,0.794872,0.623932,0.630342
1.000000,0.720848,0.724382,0.780919
1.000000,0.740132,0.756579,0.697368
1.000000,0.653595,0.767974,0.643791
1.000000,0.723127,0.661238,0.801303
1.000000,0.597015,0.770149,0.767164
1.000000,0.769231,0.647929,0.739645
1.000000,0.859425,0.830671,0.782748
1.000000,0.862687,0.782090,0.731343
1.000000,0.896359,0.745098,0.672269
1.000000,0.850746,0.805970,0.805970
1.000000,0.773481,0.737569,0.687845
1.000000,0.832861,0.682720,0.685552
1.000000,0.856338,0.661972,0.864789
1.000000,0.599379,0.413043,0.680124
1.000000,0.793893,0.732824,0.748092
1.000000,0.811321,0.833962,0.762264
1.000000,0.799479,0.669271,0.638021
1.000000,0.800000,0.717857,0.700000
