"1-1","1-2","1-3","1-4"
1.000000,0.722837,0.717136,0.656154
1.000000,0.746619,0.733656,0.750450
1.000000,0.793220,0.759233,0.767364
1.000000,0.791969,0.724020,0.723860
1.000000,0.745536,0.726873,0.734100
1.000000,0.616319,0.667178,0.577356
1.000000,0.605471,0.686869,0.698151
1.000000,0.771733,0.675778,0.691590
1.000000,0.756845,0.759158,0.452116
1.000000,0.754853,0.700815,0.621124
1.000000,0.728066,0.684796,0.611321
1.000000,0.765192,0.689618,0.693087
1.000000,0.808979,0.722033,0.725558
1.000000,0.692511,0.636779,0.677440
1.000000,0.787468,0.690221,0.715348
1.000000,0.734605,0.686865,0.718586
1.000000,0.730450,0.697420,0.614586
1.000000,0.757883,0.570924,0.605134
1.000000,0.718809,0.611801,0.660003
1.000000,0.764095,0.722939,0.741845
1.000000,0.693823,0.718063,0.730375
1.000000,0.726040,0.675249,0.638642
1.000000,0.699660,0.666657,0.659094
1.000000,0.636750,0.604391,0.572484
1.000000,0.701574,0.655857,0.641965
1.000000,0.731443,0.683921,0.685642
1.000000,0.781225,0.651817,0.697897
1.000000,0.751590,0.741582,0.664976
1.000000,0.692668,0.684336,0.692572
1.000000,0.728237,0.713978,0.648758
1.000000,0.654989,0.639463,0.615268
1.000000,0.726808,0.675943,0.665224
1.000000,0.781797,0.751267,0.732012
1.000000,0.752112,0.677172,0.642310
1.000000,0.773936,0.698627,0.745774
1.000000,0.821671,0.682437,0.720871
1.000000,0.797155,0.727340,0.700901
1.000000,0.781325,0.757313,0.747915
1.000000,0.721170,0.764672,0.706137
1.000000,0.783637,0.691267,0.719407
1.000000,0.767625,0.729704,0.747573
1.000000,0.760766,0.721701,0.728379
1.000000,0.819067,0.760607,0.764853
1.000000,0.765290,0.725716,0.741130
1.000000,0.761887,0.717588,0.637274
1.000000,0.802812,0.704957,0.717575
1.000000,0.253543,0.574183,0.524611
1.000000,0.703505,0.643905,0.623675
1.000000,0.295847,0.619064,0.721329
1.000000,0.762300,0.595543,0.654927
1.000000,0.731125,0.619796,0.652914
1.000000,0.764529,0.759811,0.739115
1.000000,0.818455,0.669166,0.692963
1.000000,0.677616,0.450093,0.753638
1.000000,0.778192,0.663446,0.696130
1.000000,0.780233,0.718945,0.642614
1.000000,0.722964,0.640118,0.631444
1.000000,0.804101,0.672231,0.635116
1.000000,0.712963,0.680557,0.679393
1.000000,0.683594,0.619590,0.633300
1.000000,0.561660,0.567193,0.629263
1.000000,0.680694,0.686769,0.681154
1.000000,0.722556,0.741540,0.648214
1.000000,0.637791,0.622427,0.706620
1.000000,0.493599,0.731795,0.667144
1.000000,0.679573,0.603094,0.642188
1.000000,0.761470,0.719423,0.710231
1.000000,0.762346,0.628755,0.618232
1.000000,0.722931,0.664454,0.583657
1.000000,0.785706,0.702182,0.662335
1.000000,0.678606,0.640142,0.606317
1.000000,0.689655,0.582126,0.581221
1.000000,0.793896,0.674332,0.739066
1.000000,0.530404,0.339335,0.623456
1.000000,0.740734,0.632335,0.613015
1.000000,0.732398,0.740313,0.695006
1.000000,0.684097,0.635313,0.596949
1.000000,0.765341,0.636806,0.611641
