"1-1","1-2","1-3","1-4"
1.000000,0.672201,0.667994,0.325584
1.000000,0.449960,0.464306,0.409837
1.000000,0.310920,0.286278,0.581430
1.000000,0.554671,0.423969,0.376336
1.000000,0.616606,0.505385,0.555913
1.000000,0.627439,0.433449,0.577351
1.000000,0.697604,0.293552,0.477362
1.000000,0.685474,0.475103,0.512986
1.000000,0.527887,0.514410,0.453348
1.000000,0.481117,0.492426,0.506933
1.000000,0.554278,0.296126,0.662943
1.000000,0.550985,0.449468,0.332758
1.000000,0.704704,0.316132,0.724725
1.000000,0.258110,0.247970,0.272739
1.000000,0.575225,0.550048,0.498043
1.000000,0.452081,0.413776,0.363896
1.000000,0.201906,0.740803,0.763607
1.000000,0.426888,0.314771,0.240631
1.000000,0.359816,0.586064,0.723736
1.000000,0.589922,0.493568,0.581603
1.000000,0.410859,0.400163,0.319035
1.000000,0.539585,0.557677,0.510705
1.000000,0.539466,0.373489,0.372302
1.000000,0.533256,0.599217,0.561176
1.000000,0.609896,0.532126,0.506269
1.000000,0.625613,0.706884,0.255737
1.000000,0.644836,0.344054,0.521113
1.000000,0.510240,0.392110,0.503108
1.000000,0.667243,0.470596,0.623029
1.000000,0.635806,0.224608,0.673983
1.000000,0.547423,0.675571,0.428927
1.000000,0.317467,0.503314,0.485221
1.000000,0.747567,0.371054,0.533347
1.000000,0.610089,0.370857,0.490421
1.000000,0.655119,0.926443,0.162773
1.000000,0.497680,0.435585,0.480014
1.000000,0.676444,0.674516,0.307065
1.000000,0.590097,0.708530,0.398540
1.000000,0.496561,0.581493,0.477395
1.000000,0.665941,0.422763,0.397135
1.000000,0.350761,0.384335,0.390046
1.000000,0.584364,0.456681,0.636217
1.000000,0.607487,0.335807,0.525862
1.000000,0.608432,0.412418,0.692545
1.000000,0.420074,0.158138,0.725737
1.000000,0.345854,0.465698,0.568668
1.000000,0.656906,0.639963,0.277455
1.000000,0.624789,0.227947,0.547377
1.000000,0.669227,0.615348,0.315465
1.000000,0.307320,0.644320,0.650509
1.000000,0.557073,0.540134,0.535076
1.000000,0.524388,0.574685,0.489705
1.000000,0.532155,0.456316,0.490100
1.000000,0.393257,0.550567,0.798022
1.000000,0.590670,0.325758,0.451842
1.000000,0.512480,0.283241,0.686964
1.000000,0.529647,0.407101,0.636993
1.000000,0.656986,0.465566,0.476898
1.000000,0.383595,0.532834,0.701019
1.000000,0.366771,0.309528,0.199614
1.000000,0.815908,0.297255,0.500991
1.000000,0.620802,0.466204,0.527325
1.000000,0.719766,0.694991,0.306120
1.000000,0.485279,0.610789,0.546052
1.000000,0.531885,0.526053,0.630525
1.000000,0.283985,0.464471,0.380549
1.000000,0.324894,0.807174,0.391429
1.000000,0.700457,0.614240,0.255171
1.000000,0.535668,0.659983,0.347892
1.000000,0.417160,0.326088,0.421410
1.000000,0.604972,0.715970,0.303850
1.000000,0.455830,0.437282,0.595510
1.000000,0.492819,0.441165,0.464483
1.000000,0.753557,0.627338,0.316893
1.000000,0.322213,0.630765,0.631600
1.000000,0.382629,0.589271,0.394291
1.000000,0.393917,0.502810,0.740006
1.000000,0.673388,0.612282,0.393489
